category_name,total_orders,avg_review_score,avg_delivery_days
"bed_bath_table",9417,3.8957,12.7583
"health_beauty",8836,4.1428,11.9225
"sports_leisure",7720,4.108,12.0782
"computers_accessories",6689,3.9308,13.1691
"furniture_decor",6449,3.9035,12.8307
"housewares",5884,4.055,10.8695
"watches_gifts",5624,4.0192,12.5882
"telephony",4199,3.9466,12.7984
"auto",3897,4.0655,12.1566
"toys",3886,4.1586,11.6412
"cool_stuff",3632,4.1463,12.3182
"garden_tools",3518,4.0427,13.6562
"perfumery",3162,4.1619,11.7197
"baby",2885,4.0118,12.4572
"electronics",2550,4.0375,12.8106
"stationery",2311,4.1939,12.6718
"fashion_bags_accessories",1864,4.1447,11.0653
"pet_shop",1710,4.1851,11.1641
Unknown,1451,3.8411,12.7353
"office_furniture",1273,3.4932,20.8004
"consoles_games",1062,4.0231,13.5367
"luggage_accessories",1034,4.3153,10.6175
"home_appliances",764,4.1725,11.1806
"construction_tools_construction",748,4.0529,10.6362
"small_appliances",630,4.1492,10.7689
"musical_instruments",628,4.1526,12.9218
"books_general_interest",512,4.4463,11.5485
"home_construction",490,3.94,13.1524
"food",450,4.2182,9.497
"furniture_living_room",422,3.9044,13.8737
"home_confort",397,3.8299,13.4514
"audio",350,3.8255,13.2755
"drinks",297,4.0477,10.3507
"market_place",280,4.0194,12.1246
"books_technical",260,4.3684,10.5774
"air_conditioning",253,3.9692,12.1938
"kitchen_dining_laundry_garden_furniture",248,3.9643,11.7956
"construction_tools_lights",244,4.0541,9.649
"fashion_shoes",240,4.2337,15.4346
"industry_commerce_and_business",235,4.1015,10.6981
"home_appliances_2",234,4.1429,13.8069
"food_drink",227,4.3154,10.7786
"fixed_telephony",217,3.6832,12.7109
"art",202,3.9372,11.3046
"costruction_tools_garden",194,4.0542,11.8376
"agro_industry_and_commerce",182,4.0,11.5825
"computers",181,4.175,13.4372
"construction_tools_safety",167,3.8446,11.8579
"signaling_and_security",140,4.0863,10.4315
"christmas_supplies",128,4.0205,15.6733
"fashion_underwear_beach",121,3.9769,13.6063
"fashion_male_clothing",112,3.6412,12.896
"costruction_tools_tools",97,4.4444,12.068
"furniture_bedroom",95,4.1182,13.1748
"tablets_printing_image",79,4.1235,12.9639
"small_appliances_home_oven_and_coffee",75,4.3026,9.7945
"cine_photo",65,4.2055,10.4225
"dvds_blu_ray",59,4.0794,12.8525
"books_imported",53,4.4,7.9649
"party_supplies",39,3.7674,9.1429
"fashio_female_clothing",39,3.78,11.8478
"furniture_mattress_and_upholstery",38,3.8158,14.4054
"music",38,4.2105,11.5526
"flowers",29,4.4194,11.1212
"diapers_and_hygiene",27,3.2564,10.6486
"fashion_sport",27,4.2581,11.8
"home_comfort_2",24,3.6296,14.5333
"arts_and_craftmanship",23,4.125,5.6667
portateis_cozinha_e_preparadores_de_alimentos,14,3.2667,7.9286
"la_cuisine",13,4.0,7.6429
"cds_dvds_musicals",12,4.6429,10.5714
pc_gamer,8,3.3333,9.5
"fashion_childrens_clothes",8,4.5,8.8571
security_and_services,2,2.5,15.0
