category_name,total_orders,average_review_score,average_delivery_days
"bed_bath_table",9272,3.921,12.7583
"health_beauty",8649,4.1907,11.9225
"sports_leisure",7530,4.166,12.0782
"computers_accessories",6529,3.9851,13.1691
"furniture_decor",6307,3.9501,12.8307
"housewares",5743,4.1084,10.8695
"watches_gifts",5493,4.0716,12.5882
"telephony",4093,3.9948,12.7984
"auto",3809,4.1161,12.1566
"toys",3804,4.2069,11.6412
"cool_stuff",3559,4.1947,12.3182
"garden_tools",3448,4.0813,13.6562
"perfumery",3088,4.2149,11.7197
"baby",2809,4.0792,12.4572
"electronics",2517,4.0675,12.8106
"stationery",2264,4.244,12.6718
"fashion_bags_accessories",1821,4.191,11.0653
"pet_shop",1688,4.2175,11.1641
,1392,3.94,12.7353
"office_furniture",1254,3.5174,20.8004
"luggage_accessories",1019,4.3523,10.6175
"consoles_games",1018,4.138,13.5367
"home_appliances",747,4.2256,11.1806
"construction_tools_construction",736,4.0909,10.6362
"musical_instruments",611,4.2229,12.9218
"small_appliances",609,4.2253,10.7689
"books_general_interest",495,4.5113,11.5485
"home_construction",483,3.9595,13.1524
"food",441,4.2628,9.497
"furniture_living_room",414,3.9372,13.8737
"home_confort",392,3.8512,13.4514
"audio",348,3.8301,13.2755
"drinks",287,4.1288,10.3507
"market_place",274,4.0726,12.1246
"books_technical",256,4.3939,10.5774
"air_conditioning",246,4.0528,12.1938
"construction_tools_lights",242,4.0853,9.649
"kitchen_dining_laundry_garden_furniture",241,4.0331,11.7956
"fashion_shoes",235,4.2852,15.4346
"industry_commerce_and_business",231,4.126,10.6981
"home_appliances_2",227,4.1595,13.8069
"food_drink",221,4.369,10.7786
"fixed_telephony",212,3.7589,12.7109
"art",195,4.0821,11.3046
"costruction_tools_garden",190,4.1239,11.8376
"agro_industry_and_commerce",177,4.0874,11.5825
"computers",177,4.2194,13.4372
"construction_tools_safety",159,3.967,11.8579
"signaling_and_security",138,4.0918,10.4315
"christmas_supplies",125,4.0699,15.6733
"fashion_underwear_beach",117,4.0476,13.6063
"fashion_male_clothing",106,3.7581,12.896
"costruction_tools_tools",97,4.4444,12.068
"furniture_bedroom",90,4.2524,13.1748
"tablets_printing_image",79,4.1235,12.9639
"small_appliances_home_oven_and_coffee",72,4.4384,9.7945
"cine_photo",63,4.2958,10.4225
"dvds_blu_ray",56,4.1803,12.8525
"books_imported",50,4.5088,7.9649
"music",38,4.2105,11.5526
"party_supplies",38,3.8333,9.1429
"furniture_mattress_and_upholstery",37,3.8919,14.4054
"fashio_female_clothing",36,3.9565,11.8478
"flowers",29,4.4194,11.1212
"fashion_sport",26,4.3667,11.8
"diapers_and_hygiene",25,3.3784,10.6486
"home_comfort_2",24,3.6296,14.5333
"arts_and_craftmanship",23,4.125,5.6667
portateis_cozinha_e_preparadores_de_alimentos,13,3.4286,7.9286
"la_cuisine",13,4.0,7.6429
"cds_dvds_musicals",12,4.6429,10.5714
pc_gamer,7,3.625,9.5
"fashion_childrens_clothes",7,5.0,8.8571
security_and_services,2,2.5,15.0
